label,final_equity,net_return,max_dd,sharpe,win_rate,win_be_rate,profit_factor,total_trades,tp_count,be_count,sl_count,liquidations,missed_signals,fill_rate,desc
Regime 0: Theoretical Baseline (30% Kelly),24376.13698524091,143.76136985240913,39.74119259870251,2.5826920247844263,43.58974358974359,60.256410256410255,1.5311320224639804,78,34,13,29,0,3884,1.9687026754164565,"Maker Entry (Touch), 0 Slippage, Maker SL (Idealized)"
Regime 0: Theoretical Baseline (20% Sci),19024.237971315022,90.24237971315023,28.182916384034222,2.5720386732949403,43.58974358974359,60.256410256410255,1.5311320224639804,78,34,13,29,0,3884,1.9687026754164565,"Maker Entry (Touch), 0 Slippage, Maker SL (Idealized)"
Regime 1: Realistic Conservative Maker (30% Kelly),7868.234281391489,-21.317657186085107,32.68826252686155,-0.28203202821176276,25.71428571428571,62.857142857142854,0.8399411383099803,35,9,13,12,0,4675,0.743099787685775,"Maker Entry (3 bps penetration to fill queue), 0 slip; Stop Market Taker SL (5 bps fee + 2 bps slip)"
Regime 1: Realistic Conservative Maker (20% Sci),8668.840463567893,-13.311595364321075,22.811342642717026,-0.2957399382212472,25.71428571428571,62.857142857142854,0.8399411383099803,35,9,13,12,0,4675,0.743099787685775,"Maker Entry (3 bps penetration to fill queue), 0 slip; Stop Market Taker SL (5 bps fee + 2 bps slip)"
Regime 2: Harsh Liquidity Maker (30% Kelly),8086.855000114354,-19.13144999885646,20.83990731807103,-0.49000193174091594,22.22222222222222,61.111111111111114,0.70150437225571,18,4,7,6,0,4887,0.3669724770642202,"Maker Entry (5 bps penetration), Stop Market Taker SL (5 bps fee + 4 bps needle slip)"
Regime 2: Harsh Liquidity Maker (20% Sci),8761.12458074203,-12.388754192579707,14.242034270575019,-0.4900729719200851,22.22222222222222,61.111111111111114,0.70150437225571,18,4,7,6,0,4887,0.3669724770642202,"Maker Entry (5 bps penetration), Stop Market Taker SL (5 bps fee + 4 bps needle slip)"
Regime 3: Aggressive Market Taker (30% Kelly),10.0,-99.9,99.9,-8.54049005615579,18.25726141078838,33.60995850622407,0.2577991081197104,241,44,37,159,0,0,100.0,"Taker Entry (5 bps fee + 2 bps slip, 100% fill), Maker TP, Stop Market Taker SL (5 bps + 2 bps slip)"
Regime 3: Aggressive Market Taker (20% Sci),10.0,-99.9,99.9,-12.542630082905838,18.25726141078838,33.60995850622407,0.2577991081197104,241,44,37,159,0,0,100.0,"Taker Entry (5 bps fee + 2 bps slip, 100% fill), Maker TP, Stop Market Taker SL (5 bps + 2 bps slip)"
Regime 4: Severe Taker Friction (30% Kelly),10.0,-99.9,99.9,-9.123499138793239,13.709677419354838,31.048387096774192,0.18116813051237027,248,34,43,170,0,0,100.0,"Taker Entry (5 bps fee + 4 bps slip), Maker TP, Stop Market Taker SL (5 bps + 4 bps slip)"
Regime 4: Severe Taker Friction (20% Sci),10.0,-99.9,99.9,-12.952877751972457,13.709677419354838,31.048387096774192,0.18116813051237027,248,34,43,170,0,0,100.0,"Taker Entry (5 bps fee + 4 bps slip), Maker TP, Stop Market Taker SL (5 bps + 4 bps slip)"
