trade_id,symbol,direction,market_type,pullback_mode,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,low_distance_to_u,high_distance_to_l,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
1,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-01-19 22:15:00+00:00,312.694,312.119,1.1542,2024-01-19 22:15:00+00:00,313.4,2024-01-19 22:30:00+00:00,312.9,0.106,0.0,2024-01-19 22:45:00+00:00,313.0564,31.62369,9900.0,311.8882,313.6211,4,2024-01-20 00:45:00+00:00,313.1506,TRAILING_STOP,8,2.98,7.92,7.9224,19.8045,-12.86,-0.348
2,BTCUSDT,LONG,spot,STRICT_SUPPORT,2024-01-25 01:15:00+00:00,39951.1744,39931.465,105.8796,2024-01-25 01:15:00+00:00,40088.45,2024-01-25 01:30:00+00:00,40046.87,9.0456,0.0,2024-01-25 01:45:00+00:00,40066.8934,0.246769,9887.26,39910.2891,39910.2891,0,2024-01-25 05:00:00+00:00,39850.4236,STOP_LOSS,13,-53.42,7.9098,7.8671,19.6944,-69.19,-1.791
3,BTCUSDT,LONG,spot,STRICT_SUPPORT,2024-01-29 10:45:00+00:00,42184.566,42156.0556,107.8322,2024-01-29 10:45:00+00:00,42313.18,2024-01-29 11:45:00+00:00,42246.95,6.534,0.0,2024-01-29 12:00:00+00:00,42268.0735,0.232297,9818.76,42134.4892,42134.4892,0,2024-01-29 12:30:00+00:00,42071.2874,STOP_LOSS,2,-45.71,7.855,7.8184,19.569,-61.39,-1.978
4,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-01-29 10:30:00+00:00,97.0285,96.752,0.5974,2024-01-29 10:30:00+00:00,97.52,2024-01-29 11:45:00+00:00,97.44,0.0115,0.0,2024-01-29 12:00:00+00:00,97.4887,57.918965,5646.45,96.6325,96.6325,0,2024-01-29 13:00:00+00:00,96.4876,STOP_LOSS,4,-57.98,4.5172,4.4708,11.2059,-66.97,-1.351
5,BTCUSDT,LONG,spot,STRICT_SUPPORT,2024-01-30 20:45:00+00:00,43443.887,43376.1367,140.328,2024-01-30 20:45:00+00:00,43561.1,2024-01-30 22:30:00+00:00,43474.78,3.623,0.0,2024-01-30 22:45:00+00:00,43496.5174,0.222815,9691.69,43348.0711,43348.0711,0,2024-01-30 23:00:00+00:00,43262.7883,STOP_LOSS,1,-52.08,7.7533,7.7117,19.3053,-67.54,-2.042
6,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-02-11 03:15:00+00:00,108.8423,108.678,0.5125,2024-02-11 03:15:00+00:00,108.94,2024-02-11 03:30:00+00:00,109.31,0.0077,0.0,2024-02-11 03:45:00+00:00,109.3747,60.827162,6652.95,108.5755,109.3326,1,2024-02-11 10:30:00+00:00,109.1686,TRAILING_STOP,27,-12.53,5.3224,5.3123,13.2871,-23.17,-0.477
7,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-02-26 10:15:00+00:00,386.99,385.909,2.1658,2024-02-26 10:15:00+00:00,388.1,2024-02-26 11:00:00+00:00,390.8,0.21,0.0,2024-02-26 11:15:00+00:00,390.8953,8.948101,3497.77,385.4758,394.6275,3,2024-02-26 15:15:00+00:00,394.0356,TRAILING_STOP,16,28.1,2.7982,2.8207,7.0377,22.48,0.464
8,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-03-02 18:30:00+00:00,408.796,408.44,1.1984,2024-03-02 18:30:00+00:00,409.1,2024-03-02 18:45:00+00:00,409.1,0.004,0.0,2024-03-02 19:00:00+00:00,409.3046,23.513391,9624.14,408.2003,408.2003,0,2024-03-02 20:00:00+00:00,407.588,STOP_LOSS,4,-40.36,7.6993,7.667,19.1877,-55.73,-2.146
9,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-03-05 10:15:00+00:00,130.9399,130.7225,0.9108,2024-03-05 10:15:00+00:00,131.2,2024-03-05 10:30:00+00:00,131.57,0.0201,0.0,2024-03-05 10:45:00+00:00,131.6258,44.524055,5860.51,130.5403,131.4136,1,2024-03-05 13:30:00+00:00,131.2165,TRAILING_STOP,11,-18.22,4.6884,4.6738,11.6937,-27.59,-0.571
10,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-04-25 05:30:00+00:00,606.372,605.538,2.6678,2024-04-25 05:30:00+00:00,607.6,2024-04-25 05:45:00+00:00,607.3,0.128,0.0,2024-04-25 06:00:00+00:00,607.6036,15.703752,9541.66,605.0044,605.0044,0,2024-04-25 07:30:00+00:00,604.0969,STOP_LOSS,6,-55.07,7.6333,7.5893,19.0007,-70.29,-1.722
